Mission,Event,Station,INSTRUMENT,AVG_SOUNDING,MIN_LAT,MIN_LON,MAX_LAT,MAX_LON,SDATE,STIME,EDATE,ETIME,DURATION,ELAPSED_TIME,COMMENTS
TEL2024880,1,HL_00,CTD,61.830000000000005,44.692454,-63.642413,44.692757,-63.641826,2024-04-11,10:11:50,2024-04-11,10:27:26,00:15:36,00:00:00,
TEL2024880,2,HL_00,202,71.18333333333334,44.692042,-63.640260,44.692122,-63.639913,2024-04-11,10:47:05,2024-04-11,10:57:44,00:10:39,00:19:39,
TEL2024880,3,HL_01,202,86.41333333333334,44.401131,-63.449244,44.402105,-63.449052,2024-04-11,13:09:45,2024-04-11,13:18:04,00:08:19,02:12:01,
TEL2024880,4,HL_01,CTD,90.87666666666667,44.402550,-63.449562,44.404256,-63.449295,2024-04-11,13:22:11,2024-04-11,13:37:19,00:15:08,00:04:07,
TEL2024880,5,HL_02,202,161.07333333333332,44.262022,-63.320347,44.263978,-63.318421,2024-04-11,15:11:18,2024-04-11,15:22:45,00:11:27,01:33:59,"Aborted: wire angle astern - hooked net on bottom of ship - 5kt wind speed and flat sea state"
TEL2024880,6,HL_02,202,159.00333333333336,44.261042,-63.324770,44.261465,-63.322165,2024-04-11,15:31:05,2024-04-11,15:41:12,00:10:07,00:08:20,
TEL2024880,7,HL_02,SECCHI DISK,158.745,44.260610,-63.326781,44.260623,-63.326725,2024-04-11,15:49:10,2024-04-11,15:49:23,00:00:13,00:07:58,
TEL2024880,8,HL_02,76,155.38666666666666,44.259421,-63.330869,44.260255,-63.328273,2024-04-11,15:54:54,2024-04-11,16:03:44,00:08:50,00:05:31,
TEL2024880,9,HL_02,CTD,147.75666666666666,44.255500,-63.340176,44.258296,-63.333391,2024-04-11,16:11:38,2024-04-11,16:32:43,00:21:05,00:07:54,"Recovered: Recovered entered early by accident."
TEL2024880,10,HL_03,202,263.75333333333333,43.883291,-62.881779,43.884620,-62.880671,2024-04-11,19:37:07,2024-04-11,19:57:21,00:20:14,03:04:24,"Recovered: router failed, no sounding or position, enteted manually"
TEL2024880,11,HL_03,CTD,263.75,43.884620,-62.881779,43.884620,-62.881779,2024-04-11,21:02:21,2024-04-11,21:35:21,00:33:00,01:05:00,"Deployed: router failed, no sounding or position, enteted manually Bottom: router failed, no sounding or position, enteted manually Recovered: router failed, no sounding or position, enteted manually"
TEL2024880,12,HL_03.3,202,205.98666666666668,43.765305,-62.752776,43.769708,-62.751978,2024-04-11,21:56:28,2024-04-11,22:10:08,00:13:40,00:21:07,
TEL2024880,13,HL_03.3,CTD,206.58666666666667,43.770938,-62.761514,43.779000,-62.751706,2024-04-11,22:16:40,2024-04-11,22:50:46,00:34:06,00:06:32,
TEL2024880,14,HL_04,202,85.72666666666667,43.480898,-62.452263,43.483484,-62.451302,2024-04-12,01:27:25,2024-04-12,01:34:40,00:07:15,02:36:39,"Aborted: cross bow slid down. re-doing net"
TEL2024880,15,HL_04,202,84.83,43.485629,-62.454165,43.486789,-62.453048,2024-04-12,01:41:53,2024-04-12,01:47:07,00:05:14,00:07:13,
TEL2024880,16,HL_04,CTD,83.92,43.488662,-62.458141,43.497345,-62.454833,2024-04-12,01:52:52,2024-04-12,02:22:08,00:29:16,00:05:45,"Recovered: changed out seapoint new xmlcon file TEL2024880_April11"
TEL2024880,17,HL_05,202,100.57333333333332,43.177535,-62.089173,43.178813,-62.088701,2024-04-12,05:12:50,2024-04-12,05:19:29,00:06:39,02:50:42,
TEL2024880,18,HL_05,CTD,101.00666666666666,43.180283,-62.091337,43.186553,-62.089254,2024-04-12,05:25:37,2024-04-12,05:53:33,00:27:56,00:06:08,
TEL2024880,19,HL_05.5,202,322.8866666666667,42.933672,-61.836191,42.939396,-61.828305,2024-04-12,08:06:17,2024-04-12,08:33:30,00:27:13,02:12:44,
TEL2024880,20,HL_05.5,CTD,423.49666666666667,42.943207,-61.857096,42.951326,-61.841482,2024-04-12,08:50:30,2024-04-12,09:32:09,00:41:39,00:17:00,
TEL2024880,21,HL_06,202,859.3066666666667,42.824492,-61.733629,42.836060,-61.730108,2024-04-12,10:51:03,2024-04-12,11:46:55,00:55:52,01:18:54,
